 # i        kappa            theta           
 0          93.06248934      0.05913855791   
 1          137.8477153      0.1560256058    
 2          155.044905       0.2419625563    
 3          183.138879       0.6920791275    
 4          93.20509128      0.9826459657    
 5          129.1922395      1.052720767     
 6          101.3031909      1.104936529     
 7          110.2423409      1.168178808     
 8          116.2899137      1.232597035     
 9          107.3311707      1.294041957     
 10         104.0220849      1.363776923     
 11         83.90771111      1.422127955     
 12         97.30431838      1.468441744     
 13         86.01238813      1.526318983     
 14         137.106913       1.579470159     
 15         139.7885584      1.657553614     
 16         153.1188487      1.764368658     
 17         172.9306126      1.885336255     
 18         137.6245842      1.99382573      
 19         172.7242288      2.245683898     
 20         169.8797134      2.437044465     
 21         132.5533574      2.594291329     
 22         170.8598251      2.688966371     
 23         120.5816785      2.779552238     
 24         120.506539       2.848917627     
 25         102.3413016      2.932211672     
 26         127.6600391      2.99093103      
 27         104.1551099      3.067613247     
 28         92.78025519      3.123563868     
 29         116.3367906      3.18010149      
 30         88.22279172      3.22925193      
 31         96.50387774      3.281833569     
 32         107.9057669      3.338325447     
 33         109.4354694      3.395917221     
 34         114.8501608      3.464768625     
 35         130.3906686      3.52461423      
 36         104.7114819      3.584669189     
 37         150.427507       3.656801218     
 38         126.650137       3.724207061     
 39         133.7936854      3.789559664     
 40         110.2524012      3.860497306     
 41         118.9390785      3.939313987     
 42         103.2848271      3.997749375     
 43         123.9893767      4.069550567     
 44         123.7592393      4.14379201      
 45         140.6692967      4.198794036     
 46         121.1964514      4.274297106     
 47         167.0285921      4.348095606     
 48         102.5478027      4.409248579     
 49         113.1345309      4.459679667     
 50         115.4285726      4.526534595     
 51         123.8926157      4.587175281     
 52         102.6544483      4.645744802     
 53         119.4267231      4.699406377     
 54         112.17707        4.750116338     
 55         103.9281792      4.807386848     
 56         110.0283251      4.861869489     
 57         122.2344606      4.919050385     
 58         83.02737465      4.970102174     
 59         86.53040544      5.958787456     
 60         94.50343944      6.026884674     
 61         103.0333733      6.071287157     
 62         101.8296484      6.11999878      
 63         87.35099568      6.168660944     
 64         126.7284605      6.222624112     
