 # layer    meanC                meanK                realN                N                    mu                  
 0          0.0215382            2.51203              1039                 1039                 0.00230478          
 1          0.104057             3.61538              520                  520                  0.00115239          
 2          0.255                4.88462              260                  260                  0.000576195         
 3          0.403467             5.66154              130                  130                  0.000288098         
 4          0.444176             5.16923              65                   65                   0.000144049         
 5          0.422607             4.24242              33                   33                   7.20244e-05         
 6          0.409804             3.29412              17                   17                   3.60122e-05         
 7          0.314815             2.66667              9                    9                    1.80061e-05         
 8          0.333333             2.4                  5                    5                    9.00305e-06         
 9          1                    2                    3                    3                    4.50152e-06         
 10         nan                  1                    2                    2                    2.25076e-06         
 11         nan                  nan                  0                    1                    1.12538e-06         
