 # i        kappa            theta           
 0          16.25052768      0.0107277458    
 1          16.71523638      0.02746008977   
 2          18.33977464      0.05079885365   
 3          15.45806976      0.08098455579   
 4          12.34711163      0.09640526552   
 5          14.63876789      0.1115935451    
 6          16.47032656      0.1355352443    
 7          15.19806038      0.1603729638    
 8          20.24294413      0.1798187847    
 9          20.82316066      0.2045394525    
 10         16.78367809      0.2328308255    
 11         11.55657755      0.2516074315    
 12         13.58602651      0.2635688539    
 13         20.10467849      0.2789847762    
 14         18.11081952      0.2985391638    
 15         22.83099813      0.3202669375    
 16         12.77010907      0.339746744     
 17         17.91904187      0.3635149704    
 18         13.35989379      0.3816246639    
 19         20.51846555      0.4051483634    
 20         21.32038659      0.4297123474    
 21         10.38728006      0.4541977422    
 22         22.28722939      0.4727636246    
 23         15.58589402      0.5056471409    
 24         18.97851333      0.531120567     
 25         17.67535262      0.5525180174    
 26         17.3752426       0.5747120077    
 27         22.48006767      0.6108183916    
 28         19.49083377      0.6427799262    
 29         28.50094291      0.690089711     
 30         19.41787832      0.7503168615    
 31         12.84891995      0.7691643305    
 32         20.86345902      0.7868940472    
 33         15.76620406      0.8102379204    
 34         17.85383193      0.8284823514    
 35         22.38775961      0.8510736527    
 36         13.09607853      0.8768158737    
 37         13.95637291      0.9051831686    
 38         10.24849324      0.9218474371    
 39         16.92118468      0.9367822855    
 40         21.66889344      0.9686516855    
 41         15.33403418      0.9901884035    
 42         18.80555699      1.011082623     
 43         17.77009255      1.03508038      
 44         16.10246738      1.050731913     
 45         19.97884223      1.074676382     
 46         17.00592588      1.096010016     
 47         14.55298397      1.11575055      
 48         12.33702871      1.128163091     
 49         18.82685312      1.148186798     
 50         17.01575679      1.166129418     
 51         17.19005151      1.183559639     
 52         21.93496749      1.207949792     
 53         11.18038683      1.223453639     
 54         17.85335376      1.24441141      
 55         18.53654491      1.260912954     
 56         18.22115833      1.283896124     
 57         15.66010487      1.300836244     
 58         11.8889591       1.317722626     
 59         13.54970271      1.33012897      
 60         18.95245793      1.346775894     
 61         21.70100864      1.406894808     
 62         24.2474702       1.483718806     
 63         27.19993264      1.528547318     
 64         20.14494725      1.568768234     
 65         17.05213324      1.583207817     
 66         12.01185671      1.599864823     
 67         23.29123793      1.624429743     
 68         19.11577923      1.658140424     
 69         27.17399284      1.687636863     
 70         21.29441229      1.712120665     
 71         16.74787076      1.731508765     
 72         12.40425676      1.744817621     
 73         19.64804913      1.763497612     
 74         22.84846626      1.790091907     
 75         21.84623691      1.809833533     
 76         12.8578671       1.828451752     
 77         20.04416042      1.853235571     
 78         22.31921903      1.870107803     
 79         10.23247323      1.8887079       
 80         16.63439986      1.903455415     
 81         15.46265465      1.917654402     
 82         17.16049159      1.937165585     
 83         25.74005672      1.988799861     
 84         13.94949879      2.036561427     
 85         28.58038033      2.069338662     
 86         19.60500238      2.114128536     
 87         24.11313232      2.140305732     
 88         36.85902621      2.288389777     
 89         23.07313212      2.55165234      
 90         15.81689929      2.658693175     
 91         14.29972308      2.673995245     
 92         14.60134703      2.691221566     
 93         20.09926685      2.714561644     
 94         19.81220692      2.734816355     
 95         23.41195717      2.758448571     
 96         8.812019995      2.78000946      
 97         17.45183096      2.790824028     
 98         20.31608188      2.81141394      
 99         14.88133819      2.834251233     
 100        15.07142621      2.852934458     
 101        20.83371159      2.869509154     
 102        15.84398345      2.891180538     
 103        16.60004387      2.916928371     
 104        16.05695849      2.94063466      
 105        15.50314058      2.95818175      
 106        11.33455629      2.9725692       
 107        11.41203052      2.98456981      
 108        15.44331213      3.010318817     
 109        17.76232673      3.032365138     
 110        17.77765425      3.052345897     
 111        13.47471399      3.068867641     
 112        12.74935108      3.084242961     
 113        18.16362504      3.104469603     
 114        15.46804614      3.122512236     
 115        28.56341089      3.149152598     
 116        17.77228466      3.178344638     
 117        15.39109159      3.198264971     
 118        18.37418743      3.215545739     
 119        14.38493166      3.236699205     
 120        27.36144902      3.258073319     
 121        17.06727321      3.284136773     
 122        11.90062155      3.294154193     
 123        17.31678025      3.312120207     
 124        13.2736324       3.330837988     
 125        14.34698533      3.34862739      
 126        13.680021        3.36313056      
 127        16.36552514      3.381310528     
 128        15.27765071      3.395605215     
 129        20.98528894      3.417498147     
 130        18.0718067       3.444731844     
 131        20.82745999      3.471271276     
 132        18.29745809      3.48822825      
 133        11.07297993      3.501912792     
 134        26.14218052      3.518937902     
 135        14.01401585      3.545985889     
 136        20.91108453      3.56347843      
 137        19.82448766      3.580549204     
 138        20.75678067      3.614019418     
 139        17.4151938       3.65211887      
 140        19.06403394      3.691551786     
 141        20.8405099       3.714416706     
 142        23.01230867      3.743130516     
 143        20.66897307      3.778173783     
 144        22.02176049      3.820244364     
 145        21.30284417      3.841051076     
 146        18.84356857      3.886332099     
 147        21.24342541      3.936631079     
 148        21.24560434      3.966809494     
 149        21.92053299      4.004117223     
 150        21.34428073      4.076469743     
 151        31.77461351      4.126545719     
 152        11.62712157      4.165149537     
 153        21.0314608       4.187851873     
 154        19.12966726      4.208569392     
 155        11.93446946      4.232809023     
 156        26.98127445      4.269954771     
 157        20.98478098      4.317266563     
 158        22.93886665      4.359836162     
 159        18.08583507      4.381854191     
 160        13.7981452       4.398188025     
 161        29.50952478      4.445747848     
 162        21.99999894      4.495800073     
 163        33.85166268      4.571502794     
 164        18.68983508      4.62633185      
 165        19.23628858      4.676537948     
 166        18.36254664      4.725207534     
 167        17.2553698       4.74659472      
 168        16.56447384      4.775353551     
 169        19.96672696      4.799907797     
 170        19.92016522      4.828706719     
 171        19.65889352      4.854594888     
 172        14.53205071      4.874061559     
 173        19.82834031      4.892796071     
 174        19.28066377      4.914229552     
 175        20.99575652      4.943016953     
 176        15.06197827      4.968301822     
 177        16.62713441      4.988007139     
 178        18.91853164      5.005584237     
 179        12.86753332      5.020546565     
 180        16.31875347      5.032057066     
 181        14.51277019      5.054462177     
 182        12.39437832      5.073905255     
 183        15.89448193      5.088882974     
 184        25.22072623      5.117887655     
 185        12.23618783      5.140414082     
 186        17.55679822      5.156265442     
 187        15.45098601      5.172298246     
 188        21.50847268      5.196065147     
 189        15.33302478      5.214472662     
 190        16.30201236      5.233261441     
 191        19.36566692      5.254886648     
 192        19.54069676      5.281140326     
 193        19.87105698      5.308045912     
 194        19.08736597      5.334826592     
 195        29.7702405       5.376634899     
 196        26.86110424      5.450224388     
 197        19.74218566      5.51054455      
 198        16.19450222      5.544343508     
 199        23.0581195       5.577335283     
 200        25.06572794      5.619397641     
 201        24.39783804      5.660560707     
 202        21.12052486      5.69062321      
 203        16.33080496      5.71823809      
 204        22.83082136      5.743179356     
 205        24.76715116      5.774750317     
 206        19.75700891      5.804102662     
 207        19.40773749      5.83374815      
 208        25.44545945      5.858089536     
 209        17.75963403      5.876164119     
 210        23.78512322      5.894314325     
 211        38.60566652      5.97747654      
 212        18.42586541      6.138390127     
 213        21.04390858      6.207367468     
 214        19.82581874      6.268148391     
 215        4.23153371       6.279407024     
