 # layer    meanC                meanK                realN                N                    mu                  
 0          0.0987928            2.77887              1723                 1723                 0.0313282           
 1          0.200542             4.00464              862                  862                  0.0156641           
 2          0.32262              5.29002              431                  431                  0.00783205          
 3          0.438768             5.60185              216                  216                  0.00391603          
 4          0.553862             5.31481              108                  108                  0.00195801          
 5          0.571017             4.44444              54                   54                   0.000979006         
 6          0.512346             3.40741              27                   27                   0.000489503         
 7          0.466667             3.14286              14                   14                   0.000244752         
 8          0.214286             2.57143              7                    7                    0.000122376         
 9          0.833333             2.5                  4                    4                    6.11879e-05         
 10         nan                  1                    2                    2                    3.05939e-05         
 11         nan                  nan                  0                    1                    1.5297e-05          
