 # i        kappa            theta           
 0          6.10127          0               
 1          9.33004          0.000794112     
 2          13.3488          0.00251419      
 3          6.10278          0.00514325      
 4          7.12846          0.00732231      
 5          3.62803          0.00757101      
 6          6.43699          0.00765615      
 7          9.96056          0.00928996      
 8          3.69352          0.00950137      
 9          4.06234          0.00966885      
 10         5.3107           0.0113049       
 11         5.36483          0.0116714       
 12         6.24349          0.0138415       
 13         5.90835          0.0160116       
 14         5.86196          0.0166266       
 15         9.91117          0.0181907       
 16         6.69512          0.0206049       
 17         6.85986          0.0236785       
 18         9.96943          0.0268889       
 19         6.16726          0.0273938       
 20         10.5795          0.0334396       
 21         13.9846          0.0356455       
 22         10.1034          0.0373697       
 23         6.6541           0.0391244       
 24         6.74177          0.0422006       
 25         10.725           0.043843        
 26         6.92564          0.0487947       
 27         10.7533          0.05026         
 28         10.5355          0.0548012       
 29         6.68151          0.0563342       
 30         6.5863           0.0591728       
 31         10.2806          0.0606292       
 32         5.83863          0.063513        
 33         9.39917          0.064024        
 34         6.47383          0.0656831       
 35         6.63367          0.0678532       
 36         10.3875          0.0700322       
 37         6.62498          0.0722113       
 38         6.17777          0.0743814       
 39         9.7549           0.0752403       
 40         10.2876          0.0765604       
 41         11.3983          0.083935        
 42         6.45563          0.0874602       
 43         10.4853          0.0880609       
 44         7.52536          0.0968443       
 45         6.30223          0.101184        
 46         5.82526          0.102218        
 47         7.9303           0.103364        
 48         7.89174          0.103523        
 49         9.3408           0.106319        
 50         8.06252          0.107749        
 51         4.72864          0.107909        
 52         9.41803          0.111364        
 53         5.26528          0.113205        
 54         8.02587          0.113856        
 55         5.21201          0.11446         
 56         4.19037          0.116253        
 57         7.05267          0.116459        
 58         3.94314          0.11663         
 59         8.42684          0.117578        
 60         5.87224          0.1188          
 61         9.83567          0.123149        
 62         9.0311           0.126186        
 63         7.70116          0.127507        
 64         7.94837          0.127829        
 65         4.98499          0.129457        
 66         4.51734          0.130008        
 67         7.85989          0.130335        
 68         5.68542          0.131556        
 69         5.2649           0.134348        
 70         8.531            0.134722        
 71         4.75746          0.136519        
 72         8.28086          0.136687        
 73         8.94693          0.14306         
 74         8.6646           0.143587        
 75         9.12291          0.144729        
 76         9.42187          0.146956        
 77         9.63469          0.147973        
 78         5.30453          0.154514        
 79         8.7608           0.154772        
 80         7.51767          0.157054        
 81         3.74071          0.157157        
 82         1.05532          0.15719         
 83         5.34551          0.159074        
 84         5.37709          0.159351        
 85         6.32054          0.161521        
 86         9.93502          0.1637          
 87         8.29473          0.165893        
 88         1.45009          0.165944        
 89         1.42428          0.168101        
 90         6.85139          0.168152        
 91         1.41932          0.168204        
 92         8.29671          0.174981        
 93         8.01714          0.175386        
 94         4.17353          0.17662         
 95         6.37809          0.176938        
 96         9.19716          0.177024        
 97         8.61086          0.178041        
 98         6.34911          0.180095        
 99         8.45768          0.185708        
 100        8.85711          0.185912        
 101        9.86034          0.187901        
 102        8.51274          0.191511        
 103        7.90114          0.191903        
 104        5.16499          0.192272        
 105        10.1695          0.19415         
 106        7.05366          0.199985        
 107        10.5168          0.202896        
 108        13.3359          0.205401        
 109        9.43043          0.20611         
 110        6.52878          0.207464        
 111        7.42026          0.212904        
 112        11.2771          0.217063        
 113        11.0603          0.221779        
 114        15.1813          0.224611        
 115        6.87605          0.227595        
 116        6.9882           0.229642        
 117        8.98514          0.233394        
 118        1.75646          0.233445        
 119        7.43978          0.23798         
 120        7.50999          0.238018        
 121        5.69232          0.239066        
 122        5.73117          0.240159        
 123        7.98301          0.241259        
 124        4.70097          0.241405        
 125        6.18877          0.242329        
 126        10.9641          0.253           
 127        8.61362          0.256411        
 128        8.45879          0.256657        
 129        5.29226          0.258527        
 130        8.47148          0.25899         
 131        5.70772          0.259701        
 132        8.45367          0.263605        
 133        8.15004          0.263939        
 134        5.46895          0.26485         
 135        11.3837          0.266145        
 136        1.39209          0.266214        
 137        10.0531          0.268436        
 138        6.77696          0.270681        
 139        11.1112          0.276304        
 140        9.19216          0.281476        
 141        9.04687          0.281834        
 142        5.90947          0.283957        
 143        9.42996          0.284784        
 144        9.92286          0.286516        
 145        10.1043          0.289142        
 146        9.94514          0.291335        
 147        5.44515          0.292953        
 148        4.66077          0.293376        
 149        4.7595           0.293514        
 150        6.81383          0.295058        
 151        10.6101          0.312206        
 152        8.65407          0.314839        
 153        5.04922          0.315249        
 154        11.9596          0.316217        
 155        5.35133          0.317033        
 156        9.19279          0.318246        
 157        5.98634          0.320629        
 158        8.78171          0.322254        
 159        8.62079          0.323099        
 160        7.73934          0.32456         
 161        7.78819          0.324774        
 162        9.12827          0.326966        
 163        9.45294          0.327757        
 164        12.5483          0.336221        
 165        5.15402          0.336492        
 166        6.14807          0.33776         
 167        5.81468          0.340832        
 168        7.64346          0.341831        
 169        7.83961          0.341982        
 170        8.04765          0.344174        
 171        1.46176          0.344226        
 172        9.66707          0.346391        
 173        8.8931           0.348876        
 174        8.71087          0.349341        
 175        6.08629          0.350763        
 176        4.8885           0.352933        
 177        5.0227           0.353025        
 178        10.1716          0.357514        
 179        9.46962          0.35947         
 180        9.35597          0.360525        
 181        5.96599          0.362052        
 182        8.39743          0.363685        
 183        8.26278          0.363855        
 184        10.3621          0.366048        
 185        7.44961          0.369865        
 186        11.7828          0.37418         
 187        11.9899          0.377805        
 188        11.2339          0.391651        
 189        6.9284           0.392351        
 190        10.647           0.396745        
 191        6.84217          0.397625        
 192        5.0467           0.402148        
 193        8.4455           0.402356        
 194        9.297            0.402813        
 195        6.58342          0.405504        
 196        6.65414          0.406378        
 197        7.28735          0.407722        
 198        7.5522           0.425088        
 199        6.70052          0.427498        
 200        6.06745          0.428799        
 201        8.439            0.429954        
 202        4.68259          0.430389        
 203        8.17311          0.430701        
 204        5.79248          0.432172        
 205        5.96028          0.432858        
 206        9.57629          0.435143        
 207        4.40594          0.435981        
 208        8.18011          0.436056        
 209        6.37022          0.446831        
 210        10.2077          0.44732         
 211        11.0847          0.4501          
 212        10.7967          0.453602        
 213        9.8866           0.456875        
 214        8.29468          0.457667        
 215        1.41308          0.457718        
 216        9.46972          0.462077        
 217        9.39337          0.462605        
 218        8.43892          0.465067        
 219        4.8317           0.46518         
 220        6.6721           0.46804         
 221        6.3263           0.470591        
 222        10.1625          0.471389        
 223        10.9504          0.474962        
 224        9.77193          0.47881         
 225        5.87782          0.479334        
 226        6.43378          0.480361        
 227        11.1629          0.482907        
 228        10.7956          0.490256        
 229        10.6705          0.493312        
 230        6.37499          0.495035        
 231        14.3186          0.496311        
 232        11.8883          0.501143        
 233        8.00907          0.501161        
 234        6.28483          0.502352        
 235        7.19773          0.505532        
 236        10.7201          0.509959        
 237        6.78767          0.510692        
 238        7.6519           0.516787        
 239        9.0765           0.521158        
 240        1.89047          0.521209        
 241        6.99286          0.523294        
 242        6.52384          0.526361        
 243        9.98135          0.527479        
 244        10.316           0.52854         
 245        8.32558          0.535062        
 246        12.1384          0.5351          
 247        6.26383          0.537719        
 248        9.64608          0.538945        
 249        9.94489          0.539898        
 250        10.3907          0.544431        
 251        8.69667          0.545515        
 252        1.52205          0.545566        
 253        7.49497          0.550241        
 254        7.42955          0.552411        
 255        7.69003          0.558921        
 256        7.65036          0.561803        
 257        7.37552          0.565012        
 258        11.7014          0.568101        
 259        10.6487          0.574652        
 260        6.09909          0.576831        
 261        9.51021          0.57766         
 262        6.14051          0.578823        
 263        6.32063          0.580476        
 264        9.90474          0.582355        
 265        6.07727          0.58429         
 266        7.4246           0.585538        
 267        3.43027          0.585642        
 268        1.16379          0.585675        
 269        6.12055          0.58893         
 270        4.09095          0.590015        
 271        7.45392          0.590033        
 272        6.67833          0.592212        
 273        6.16506          0.596109        
 274        6.17743          0.596588        
