 # layer    meanC                meanK                realN                N                    mu                  
 0          0.0165684            2.50152              2640                 2640                 0.00235251          
 1          0.101275             3.84697              1320                 1320                 0.00117625          
 2          0.202085             5.32121              660                  660                  0.000588127         
 3          0.334556             6.27879              330                  330                  0.000294064         
 4          0.488502             6.35152              165                  165                  0.000147032         
 5          0.467613             5.44578              83                   83                   7.35159e-05         
 6          0.514153             4.47619              42                   42                   3.6758e-05          
 7          0.590476             3.71429              21                   21                   1.8379e-05          
 8          0.427273             2.90909              11                   11                   9.18949e-06         
 9          0.5                  2.66667              6                    6                    4.59475e-06         
 10         1                    2                    3                    3                    2.29737e-06         
 11         nan                  1                    2                    2                    1.14869e-06         
 12         nan                  nan                  0                    1                    5.74343e-07         
