 # i        kappa            theta           
 0          115.68581        0.0626232741    
 1          38.75449765      0.1313660138    
 2          11.20294376      0.1615669576    
 3          22.34407734      0.2705467103    
 4          34.26323257      0.3992908816    
 5          13.37388537      0.466976418     
 6          21.67082774      0.5318912869    
 7          37.58218038      0.6150656011    
 8          134.8845967      0.6497089659    
 9          15.2617085       0.6781601642    
 10         11.81283017      0.7139179682    
 11         14.66271008      0.7403771618    
 12         14.15580584      0.8007054731    
 13         15.29373284      0.8305609811    
 14         31.49549089      0.91196355      
 15         19.68200455      0.9730909834    
 16         44.12611569      1.0066049       
 17         17.31631891      1.064325958     
 18         11.63746616      1.104509782     
 19         26.08558896      1.147525393     
 20         9.115635259      1.198315196     
 21         44.30238012      1.307297909     
 22         24.49942349      1.980254819     
 23         8.91543419       2.025965106     
 24         10.21609912      2.073873768     
 25         36.04772342      2.104533868     
 26         6.900795928      2.162351392     
 27         73.20734476      2.186212719     
 28         23.15241781      2.225084969     
 29         38.5917592       2.252986752     
 30         19.09504317      2.309673791     
 31         12.16462258      2.391155204     
 32         15.61580962      2.444777849     
 33         11.26887614      2.502858688     
 34         18.90049926      2.538902514     
 35         27.85223334      2.586184545     
 36         26.41585903      2.733221466     
 37         185.0950683      2.874099071     
 38         1.484600928      2.910645757     
 39         27.12893895      2.975737545     
 40         17.87823896      3.027283644     
 41         20.27974999      3.058765382     
 42         21.95120114      3.12554043      
 43         32.92742982      3.248836792     
 44         33.13559663      3.281508399     
 45         9.901527464      3.345085032     
 46         26.12673791      3.404367462     
 47         11.61709217      3.463379224     
 48         77.33523326      3.516370346     
 49         103.5017525      3.586673296     
 50         15.231581        3.620776932     
 51         8.678263808      3.685297212     
 52         76.37752552      3.714672589     
 53         18.28630626      3.771340434     
 54         10.42209178      3.820675549     
 55         9.277155735      3.855513365     
 56         28.50912471      3.914394969     
 57         9.683159384      4.005715866     
 58         48.03892675      4.106950919     
 59         8.66457048       4.172352482     
 60         13.52756839      4.228282859     
 61         116.0431355      4.336129306     
 62         2.4262244        4.361851742     
 63         16.37329013      4.413637248     
 64         74.92961884      4.44226076      
 65         9.673997602      4.490777934     
 66         9.041094564      4.535213067     
 67         40.73485275      4.564627082     
 68         11.83959486      4.622494442     
 69         18.07412391      4.667618482     
 70         19.96137169      4.729740179     
 71         14.01766547      4.769088986     
 72         71.25887712      4.824613856     
 73         23.76877665      4.868019631     
 74         18.84367091      4.916143012     
 75         9.435139565      4.962131818     
 76         16.75035135      5.006014587     
 77         5.472092723      5.061829515     
 78         3.353791751      5.090971128     
 79         79.57683781      5.114997184     
 80         80.4427981       5.1575039       
 81         17.324131        5.232280844     
 82         15.15892779      5.330660317     
 83         17.79906496      5.386626536     
 84         16.38220191      5.409561562     
 85         7.92083728       5.451242658     
 86         14.39635365      5.494254419     
 87         30.53367564      5.567262178     
 88         59.04137447      5.626137039     
 89         4.934840364      5.636979458     
 90         6.585730293      5.662697329     
 91         22.57653262      5.700648631     
 92         13.65493613      5.755735657     
 93         25.77971371      5.862260659     
 94         9.523634309      5.903581174     
 95         64.02604447      5.950285239     
 96         17.50007639      6.00157676      
 97         47.17765573      6.139598686     
 98         19.23938661      6.202433984     
 99         7.877117429      6.256790158     
