 # i        j         
 0          24        
 0          9         
 0          11        
 0          12        
 0          15        
 0          18        
 0          20        
 0          16        
 0          4         
 0          5         
 0          23        
 0          21        
 0          22        
 0          3         
 0          1         
 0          2         
 0          13        
 0          10        
 0          17        
 0          14        
 1          9         
 1          24        
 1          12        
 1          20        
 1          3         
 1          2         
 1          19        
 1          22        
 1          23        
 1          4         
 1          18        
 1          5         
 2          4         
 2          3         
 2          24        
 2          12        
 2          15        
 2          9         
 2          18        
 2          20        
 2          16        
 2          23        
 2          5         
 2          19        
 2          17        
 2          21        
 2          13        
 2          22        
 3          4         
 3          5         
 3          24        
 3          9         
 3          23        
 3          6         
 3          19        
 4          20        
 4          5         
 4          23        
 4          24        
 4          12        
 4          9         
 4          6         
 5          12        
 5          9         
 5          11        
 5          16        
 5          15        
 5          10        
 5          13        
 5          6         
 5          8         
 5          7         
 6          7         
 6          9         
 6          8         
 6          12        
 6          11        
 6          10        
 6          16        
 6          13        
 6          20        
 7          12        
 7          15        
 7          9         
 7          11        
 7          16        
 7          8         
 7          10        
 7          14        
 7          24        
 7          13        
 8          9         
 8          20        
 8          11        
 8          12        
 8          15        
 8          16        
 8          10        
 8          13        
 9          15        
 9          16        
 9          12        
 9          10        
 9          11        
 9          18        
 9          20        
 9          17        
 9          19        
 9          23        
 9          21        
 9          14        
 9          24        
 9          13        
 9          22        
 10         12        
 10         11        
 10         13        
 10         20        
 10         19        
 10         14        
 10         15        
 10         23        
 10         24        
 10         16        
 10         18        
 11         12        
 11         15        
 11         18        
 11         16        
 11         14        
 11         13        
 11         24        
 11         20        
 11         23        
 11         21        
 12         13        
 12         20        
 12         15        
 12         14        
 12         19        
 12         18        
 12         23        
 12         16        
 12         24        
 12         21        
 12         17        
 13         15        
 13         14        
 13         20        
 13         24        
 13         19        
 13         16        
 13         23        
 13         17        
 13         18        
 14         15        
 14         19        
 14         18        
 14         20        
 14         17        
 14         16        
 14         21        
 14         24        
 15         18        
 15         16        
 15         20        
 15         17        
 15         19        
 15         23        
 15         24        
 15         21        
 15         22        
 16         18        
 16         20        
 16         17        
 16         19        
 16         21        
 16         23        
 16         22        
 16         24        
 17         19        
 17         20        
 17         18        
 17         22        
 17         23        
 17         21        
 17         24        
 18         19        
 18         21        
 18         23        
 18         24        
 18         20        
 18         22        
 19         20        
 19         23        
 19         21        
 19         24        
 19         22        
 20         21        
 20         23        
 20         24        
 20         22        
 21         23        
 21         22        
 21         24        
 22         23        
 22         24        
 23         24        
