 # layer    meanC                meanK                realN                N                    mu                  
 0          0.635051             7.09296              796                  796                  0.0538856           
 1          0.608777             10.2513              398                  398                  0.0269428           
 2          0.598496             13.5678              199                  199                  0.0134714           
 3          0.627948             15.78                100                  100                  0.0067357           
 4          0.669974             17.84                50                   50                   0.00336785          
 5          0.798937             16.64                25                   25                   0.00168392          
 6          0.94021              11.2308              13                   13                   0.000841962         
 7          1                    6                    7                    7                    0.000420981         
 8          1                    3                    4                    4                    0.000210491         
 9          nan                  1                    2                    2                    0.000105245         
 10         nan                  nan                  0                    1                    5.26227e-05         
